restart	slot	seed	proposed	accepted	uphill	best_cost	best_step	final_cost
0	0	13679457532755275413	120	112	0	2	0	2
0	1	13432527470776545160	120	107	2	2	2	2
0	2	18105923034897077331	120	104	11	2	0	2
0	3	17864077645780634326	120	99	23	2	15	2
