cut	k	mask	rank_sum	max_rank_sum	entropy_nats	entropy_bits	max_entropy_bits	cost
0	1	1	1	1	0.69314718055994529	1	1	0
1	1	2	1	1	0.69314718055994529	1	1	0
2	1	4	1	1	0.69314718055994529	1	1	0
3	1	8	1	1	0.69314718055994529	1	1	0
4	2	3	2	2	1.3862943611198906	2	2	0
5	2	5	2	2	1.3862943611198906	2	2	0
6	2	9	1	2	0.69314718055994529	1	2	1
7	2	6	1	2	0.69314718055994529	1	2	1
8	2	10	2	2	1.3862943611198906	2	2	0
9	2	12	2	2	1.3862943611198906	2	2	0
