restart	step_per_replica	slot	temperature	walker	cost	best_cost	proposed	accepted	uphill
0	0	0	0.25	0	2	2	0	0	0
0	0	1	1.4620088691064328	1	7	2	0	0	0
0	0	2	8.5498797333834826	2	2	2	0	0	0
0	0	3	50	3	4	2	0	0	0
0	25	0	0.25	0	0	0	2	1	0
0	25	1	1.4620088691064328	1	0	0	7	7	0
0	25	2	8.5498797333834826	2	0	0	21	17	2
0	25	3	50	3	0	0	2	2	0
