restart	slot	seed	proposed	accepted	uphill	best_cost	best_step	final_cost
0	0	13679457532755275413	2	1	0	0	2	0
0	1	13432527470776545160	7	7	0	0	7	0
0	2	18105923034897077331	21	17	2	0	21	0
0	3	17864077645780634326	2	2	0	0	2	0
