cut	k	mask	rank_sum	max_rank_sum	entropy_nats	entropy_bits	max_entropy_bits	cost
0	1	1	2	2	9.2104403669765169	13.287856641840545	13.287856641840545	0
1	1	2	2	2	9.2104403669765169	13.287856641840545	13.287856641840545	0
2	1	4	2	2	9.2104403669765169	13.287856641840545	13.287856641840545	0
3	1	8	2	2	9.2104403669765169	13.287856641840545	13.287856641840545	0
4	1	16	2	2	9.2104403669765169	13.287856641840545	13.287856641840545	0
5	1	32	2	2	9.2104403669765169	13.287856641840545	13.287856641840545	0
6	1	64	2	2	9.2104403669765169	13.287856641840545	13.287856641840545	0
7	1	128	2	2	9.2104403669765169	13.287856641840545	13.287856641840545	0
8	1	256	2	2	9.2104403669765169	13.287856641840545	13.287856641840545	0
9	1	512	2	2	9.2104403669765169	13.287856641840545	13.287856641840545	0
10	1	1024	2	2	9.2104403669765169	13.287856641840545	13.287856641840545	0
11	1	2048	2	2	9.2104403669765169	13.287856641840545	13.287856641840545	0
12	1	4096	2	2	9.2104403669765169	13.287856641840545	13.287856641840545	0
13	1	8192	2	2	9.2104403669765169	13.287856641840545	13.287856641840545	0
14	1	16384	2	2	9.2104403669765169	13.287856641840545	13.287856641840545	0
15	1	32768	2	2	9.2104403669765169	13.287856641840545	13.287856641840545	0
16	1	65536	2	2	9.2104403669765169	13.287856641840545	13.287856641840545	0
17	2	3	4	4	18.420880733953034	26.57571328368109	26.57571328368109	0
18	2	5	4	4	18.420880733953034	26.57571328368109	26.57571328368109	0
19	2	9	4	4	18.420880733953034	26.57571328368109	26.57571328368109	0
20	2	17	4	4	18.420880733953034	26.57571328368109	26.57571328368109	0
21	2	33	4	4	18.420880733953034	26.57571328368109	26.57571328368109	0
22	2	65	4	4	18.420880733953034	26.57571328368109	26.57571328368109	0
23	2	129	4	4	18.420880733953034	26.57571328368109	26.57571328368109	0
24	2	257	4	4	18.420880733953034	26.57571328368109	26.57571328368109	0
25	2	513	4	4	18.420880733953034	26.57571328368109	26.57571328368109	0
26	2	1025	4	4	18.420880733953034	26.57571328368109	26.57571328368109	0
27	2	2049	4	4	18.420880733953034	26.57571328368109	26.57571328368109	0
28	2	4097	4	4	18.420880733953034	26.57571328368109	26.57571328368109	0
29	2	8193	4	4	18.420880733953034	26.57571328368109	26.57571328368109	0
30	2	16385	4	4	18.420880733953034	26.57571328368109	26.57571328368109	0
31	2	32769	4	4	18.420880733953034	26.57571328368109	26.57571328368109	0
32	2	65537	4	4	18.420880733953034	26.57571328368109	26.57571328368109	0
33	2	6	4	4	18.420880733953034	26.57571328368109	26.57571328368109	0
34	2	10	4	4	18.420880733953034	26.57571328368109	26.57571328368109	0
35	2	18	4	4	18.420880733953034	26.57571328368109	26.57571328368109	0
