k	cuts	mean_bits	std_bits	min_bits	max_bits	passing
1	17	13.287856641840545	0	13.287856641840545	13.287856641840545	17
2	136	26.57571328368109	0	26.57571328368109	26.57571328368109	136
3	680	39.863569925521631	0	39.863569925521631	39.863569925521631	680
4	2380	53.151426567362179	0	53.151426567362179	53.151426567362179	2380
5	6188	66.439283209202728	0	66.439283209202728	66.439283209202728	6188
6	12376	79.727139851043262	0	79.727139851043262	79.727139851043262	12376
7	19448	93.01499649288381	0	93.01499649288381	93.01499649288381	19448
8	24310	106.30285313472436	0	106.30285313472436	106.30285313472436	24310
