restart	step_per_replica	slot	temperature	walker	cost	best_cost	proposed	accepted	uphill
0	0	0	0.25	0	4	3	0	0	0
0	0	1	1.4620088691064328	1	6	3	0	0	0
0	0	2	8.5498797333834826	2	9	3	0	0	0
0	0	3	50	3	3	3	0	0	0
0	50	0	0.25	3	1	1	50	18	0
0	50	1	1.4620088691064328	0	1	1	50	35	8
0	50	2	8.5498797333834826	1	3	1	50	46	13
0	50	3	50	2	2	1	50	47	16
0	60	0	0.25	3	0	0	59	22	0
0	60	1	1.4620088691064328	0	3	0	60	44	12
0	60	2	8.5498797333834826	2	3	0	60	55	17
0	60	3	50	1	11	0	60	55	21
